지점번호,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
108,서울,Dec-93,-0.2,3.8,10,1993-12-25,-3.8,-11.2,1993-12-15
108,서울,Jan-94,-0.9,3.1,10,1994-01-09,-4.7,-12.3,1994-01-19
108,서울,Feb-94,0.8,5.8,11.4,1994-02-19,-3.2,-10.8,1994-02-10
108,서울,Mar-94,4,8.9,18.6,1994-03-31,-0.1,-5.5,1994-03-01
108,서울,Apr-94,15.2,21.4,28.9,1994-04-06,10,5.7,1994-04-14
108,서울,May-94,17.9,23.1,28,1994-05-23,13.4,8.3,1994-05-05
108,서울,Jun-94,22.8,28.2,34.7,1994-06-17,18.1,13.4,1994-06-20
108,서울,Jul-94,28.5,32.6,38.4,1994-07-24,25.3,21.3,1994-07-02
108,서울,Aug-94,27.6,31.9,37,1994-08-09,24.4,19,1994-08-22
108,서울,Sep-94,21,26.1,32,1994-09-04,16.7,12.1,1994-09-25
108,서울,Oct-94,15.2,20.3,25.9,1994-10-09,11.3,3.2,1994-10-31
108,서울,Nov-94,9.3,13.6,19.8,1994-11-06,5.4,-2.2,1994-11-27
108,서울,Dec-94,1.1,4.7,12.4,1994-12-01,-2.4,-12.6,1994-12-16
108,서울,Jan-95,-2.1,1.8,10.3,1995-01-08,-5.7,-11.1,1995-01-30
108,서울,Feb-95,1.2,6,9.9,1995-02-11,-2.8,-7.9,1995-02-01
108,서울,Mar-95,6,10.3,17.1,1995-03-15,2.2,-3.6,1995-03-17
108,서울,Apr-95,11.3,16.7,25.2,1995-04-30,6.5,-0.4,1995-04-02
108,서울,May-95,17.1,22.1,29,1995-05-18,12.1,6.3,1995-05-11
108,서울,Jun-95,21.6,26.3,29.6,1995-06-21,17.5,12.1,1995-06-01
108,서울,Jul-95,24.5,27.8,33.6,1995-07-23,21.7,17.7,1995-07-05
108,서울,Aug-95,26,29.2,33.7,1995-08-15,23.4,18.8,1995-08-30
108,서울,Sep-95,20,24.5,28.4,1995-09-01,15.7,10.7,1995-09-28
108,서울,Oct-95,15.5,20.6,25.6,1995-10-13,10.7,4.2,1995-10-31
108,서울,Nov-95,6.2,11.5,18.6,1995-11-06,1.8,-4.3,1995-11-24
108,서울,Dec-95,-1,3,6.9,1995-12-12,-4.4,-10.3,1995-12-30
108,서울,Jan-96,-2.2,2.3,9.8,1996-01-13,-5.6,-10.7,1996-01-04
108,서울,Feb-96,-1.6,3.2,14,1996-02-13,-5.5,-13.8,1996-02-02
108,서울,Mar-96,4.9,9.5,17.5,1996-03-29,1,-3.8,1996-03-12
108,서울,Apr-96,10.2,15.1,23.3,1996-04-27,5.9,-0.9,1996-04-02
108,서울,May-96,18.4,24.2,31.4,1996-05-31,13.3,9.8,1996-05-10
108,서울,Jun-96,22.3,26.5,32.7,1996-06-01,19.1,15.1,1996-06-18
108,서울,Jul-96,24.4,28.3,34.6,1996-07-31,21.2,16.6,1996-07-09
108,서울,Aug-96,26,29.8,35.4,1996-08-01,22.9,17.6,1996-08-28
108,서울,Sep-96,22,27.3,30.9,1996-09-02,17.5,11.6,1996-09-21
108,서울,Oct-96,14.5,19.4,23.8,1996-10-04,10,-0.4,1996-10-27
108,서울,Nov-96,6.1,10.3,18.8,1996-11-11,2.4,-8,1996-11-30
108,서울,Dec-96,1.6,6,12.7,1996-12-15,-2.5,-10.5,1996-12-01
108,서울,Jan-97,-3.3,1.2,8,1997-01-01,-7.1,-13.7,1997-01-22
